Id,鄉鎮市區,交易標的,路名,土地移轉總面積平方公尺,都市土地使用分區,土地數,建物數,車位數,移轉層次,移轉層次項目,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,交易年,交易日,交易月,地鐵站,超商,公園,托兒所,國小,國中,高中職,大學,金融機構,醫院,大賣場,超市,百貨公司,警察局,消防局,縱坐標,橫坐標
14,南港區,房地(土地+建物)+車位,南港路二段,22.0,第三種住宅區,1.0,1.0,1.0,2,無,7.0,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,2009-11-30,129.46,2,1,2,有,有,2021,21,1,1.0,9.0,10.0,20.0,20.0,19.0,7.0,6.0,17.0,18.0,11.0,20.0,18.0,20.0,18.0,25.01648260469545,121.62781847121843
15,大安區,房地(土地+建物),復興南路一段,25.89,第四之一種住宅區,2.0,1.0,0.0,3,陽臺,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1965-06-24,114.3,4,2,2,有,有,2019,23,6,1.0,16.0,12.0,20.0,20.0,20.0,14.0,19.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.00631580469545,121.57691807121844
16,松山區,房地(土地+建物),民生東路五段,7.05,住宅用地,1.0,1.0,0,7,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1979-09-20,37.48,1,1,1,有,有,2020,12,12,0.0,8.0,15.0,20.0,20.0,20.0,11.0,17.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
17,內湖區,房地(土地+建物)+車位,康樂街,23.67,第三種住宅區,1.0,1.0,1,15,無,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,2009-04-24,143.829999999999,3,2,2,有,有,2019,22,12,1.0,12.0,14.0,20.0,20.0,14.0,6.0,4.0,19.0,20.0,12.0,20.0,13.0,20.0,15.0,25.00804600469545,121.55742387121843
18,中正區,房地(土地+建物)+車位,中華路二段,23.53,第三種住宅區,1.0,1.0,1,4,無,6.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,2005-08-05,119.88,1,2,1,有,有,2020,2,12,1.0,13.0,6.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.99532000469545,121.53815357121844
19,士林區,房地(土地+建物),後港街,23.33,第三種住宅區,1.0,1.0,0.0,4,陽臺,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1965-09-24,83.27,3,1,1,有,無,2021,25,2,1.0,12.0,9.0,20.0,20.0,19.0,10.0,17.0,19.0,20.0,13.0,20.0,17.0,20.0,20.0,25.04490130469545,121.55474887121844
20,大同區,房地(土地+建物),民權西路,8.03,住,2.0,1.0,0,12,無,18.0,辦公商業大樓,商業用,鋼筋混凝土造,1990-03-23,85.81,1,1,1,有,有,2019,10,11,2.0,14.0,16.0,20.0,20.0,20.0,12.0,17.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,25.02467820469545,121.54831027121844
21,士林區,房地(土地+建物),社中街,29.75,第三種住宅區,1.0,1.0,0.0,4,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1966-06-28,82.86,2,2,1,有,無,2021,25,3,0.0,8.0,8.0,20.0,20.0,20.0,8.0,9.0,13.0,20.0,8.0,20.0,18.0,20.0,20.0,25.054559304695452,121.53781377121844
22,文山區,房地(土地+建物)+車位,木柵路一段,32.01,第三種住宅區,1.0,1.0,1.0,3,無,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1995-03-17,165.39,2,2,2,有,有,2021,7,5,1.0,10.0,6.0,20.0,20.0,20.0,15.0,17.0,18.0,20.0,10.0,20.0,15.0,20.0,15.0,24.95084970469545,121.59022337121844
23,大安區,房地(土地+建物),師大路,8.73,第三種住宅區,1.0,1.0,0,5,無,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2008-11-14,50.56,1,1,1,有,有,2020,8,8,0.0,13.0,11.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
24,士林區,房地(土地+建物),劍潭路,32.5,第一種商業區及第三種住宅區,1.0,1.0,0.0,2,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1966-06-15,106.25,3,2,2,有,無,2021,29,3,1.0,10.0,7.0,20.0,20.0,20.0,8.0,17.0,18.0,20.0,13.0,20.0,17.0,20.0,20.0,25.04617660469545,121.55270607121844
25,中正區,房地(土地+建物),汀州路二段,36.2,第三種住宅區,1.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-11-25,128.98,3,2,2,有,無,2020,7,11,2.0,12.0,7.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.98745820469545,121.54765447121844
26,南港區,房地(土地+建物)+車位,經貿二路,22.9,住,1.0,1.0,1,9,無,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,2020-02-12,140.75,3,2,1,有,有,2019,15,1,1.0,10.0,7.0,20.0,20.0,17.0,6.0,4.0,16.0,20.0,11.0,20.0,10.0,20.0,16.0,25.024576104695452,121.64673327121844
27,南港區,房地(土地+建物)+車位,重陽路,50.72,住宅區,1.0,1.0,1,2,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2010-10-26,178.149999999999,3,2,2,有,有,2020,6,10,0.0,9.0,9.0,20.0,20.0,17.0,7.0,6.0,18.0,18.0,12.0,20.0,18.0,20.0,18.0,25.019038304695453,121.62827077121844
28,北投區,房地(土地+建物),稻香路,14.83,第三種住宅區,1.0,1.0,0,4,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1999-02-04,84.4,1,2,1,有,有,2021,22,10,1.0,3.0,6.0,14.0,20.0,11.0,3.0,11.0,13.0,20.0,5.0,19.0,6.0,13.0,13.0,24.986825104695452,121.55742387121843
29,北投區,房地(土地+建物),公路,28.83,第三種住宅區,1.0,1.0,0,1,無,5.0,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,1987-01-15,116.919999999999,5,2,2,有,無,2020,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.00804600469545,121.55742387121843
30,北投區,房地(土地+建物)+車位,奇岩路,199.44,住,4.0,1.0,1,3,無,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2015-06-17,238.85,3,2,2,有,有,2020,19,1,0.0,2.0,10.0,19.0,20.0,17.0,5.0,12.0,19.0,20.0,11.0,20.0,10.0,19.0,13.0,25.09009210469545,121.54160637121844
31,中山區,房地(土地+建物)+車位,明水路,51.43,住,1.0,1.0,2,11,無,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2007-09-19,274.0,3,2,2,有,有,2020,25,2,1.0,8.0,10.0,20.0,20.0,20.0,9.0,17.0,19.0,20.0,14.0,20.0,19.0,20.0,20.0,25.04046790469545,121.57876307121843
32,大安區,房地(土地+建物),安居街,27.14,第三種住宅區,1.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1967-10-17,94.01,3,2,2,有,無,2021,28,7,0.0,13.0,11.0,20.0,20.0,20.0,16.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,24.982206904695452,121.58587287121844
33,士林區,房地(土地+建物),文林路,39.75,第三種住宅區,1.0,1.0,0.0,2,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1964-01-13,98.43,3,2,2,有,無,2021,26,3,1.0,10.0,11.0,20.0,20.0,19.0,8.0,12.0,14.0,20.0,11.0,20.0,16.0,20.0,19.0,25.06074130469545,121.55086067121844
34,中山區,房地(土地+建物),吉林路,21.6,第三種住宅區,1.0,1.0,0,1,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-10-09,66.35,3,1,1,有,無,2020,30,11,2.0,17.0,13.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,20.0,25.018660104695453,121.56118567121844
35,中正區,房地(土地+建物),同安街,16.09,住,1.0,1.0,0,5,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1984-01-24,73.7899999999999,2,1,1,有,有,2020,28,3,0.0,6.0,11.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.984265404695453,121.55263677121845
36,內湖區,房地(土地+建物),陽光街,19.42,住,1.0,1.0,0,4,無,5.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,2019-07-16,37.7,1,1,1,有,有,2020,18,1,0.0,5.0,7.0,19.0,20.0,20.0,9.0,7.0,17.0,20.0,10.0,20.0,15.0,20.0,18.0,25.03634010469545,121.61736587121844
37,中山區,房地(土地+建物),龍江路,23.25,住,1.0,1.0,0,2,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1985-07-30,190.51,4,2,4,有,有,2020,22,2,2.0,15.0,17.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.01598950469545,121.57247997121844
38,內湖區,房地(土地+建物)+車位,內湖路三段,17.05,住,1.0,1.0,1,2,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2013-07-31,117.1,2,2,1,有,有,2019,12,11,0.0,8.0,6.0,20.0,20.0,16.0,5.0,6.0,17.0,20.0,10.0,20.0,7.0,19.0,11.0,25.05073440469545,121.61994357121844
39,文山區,房地(土地+建物),興隆路三段,32.74,住,1.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1984-08-30,141.41,3,2,2,有,有,2020,30,4,1.0,7.0,3.0,20.0,20.0,18.0,11.0,18.0,16.0,18.0,7.0,20.0,13.0,20.0,16.0,24.95621430469545,121.59284077121843
40,松山區,房地(土地+建物),光復南路,44.96,住,1.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1990-08-06,147.26,3,2,2,有,無,2019,24,11,1.0,14.0,9.0,20.0,20.0,20.0,14.0,19.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.00697490469545,121.58722037121844
41,中山區,房地(土地+建物),復興北路,22.52,第三種住宅區,1.0,1.0,0,7,無,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1975-03-14,110.899999999999,3,2,2,有,有,2021,10,9,1.0,14.0,17.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
42,內湖區,房地(土地+建物),金湖路,8.84,第三種住宅區,1.0,1.0,0,3,無,7.0,華廈(10層含以下有電梯),多戶住宅,鋼筋混凝土造,2008-12-10,35.36,1,1,1,有,有,2020,30,11,1.0,6.0,4.0,20.0,20.0,15.0,6.0,5.0,17.0,20.0,14.0,20.0,11.0,20.0,17.0,25.03608400469545,121.63587197121844
43,信義區,房地(土地+建物),忠孝東路五段,29.04,第三種住宅區,1.0,1.0,0,4,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-04-25,124.1,3,2,2,有,無,2021,30,9,1.0,17.0,17.0,20.0,20.0,19.0,10.0,13.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.003467704695453,121.60486507121844
44,大同區,房地(土地+建物),重慶北路三段,9.36,住,2.0,1.0,0,1,無,6.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,2019-10-17,48.21,1,1,1,有,無,2020,20,4,1.0,14.0,13.0,20.0,20.0,20.0,13.0,17.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,25.032620004695453,121.54501547121843
45,北投區,房地(土地+建物)+車位,稻香路,38.72,住,1.0,1.0,1,3,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2018-12-25,184.31,3,2,2,有,有,2019,1,12,1.0,4.0,10.0,16.0,20.0,12.0,3.0,13.0,18.0,20.0,5.0,19.0,7.0,12.0,13.0,25.10121440469545,121.52201187121844
46,北投區,房地(土地+建物),石牌路一段,27.5,住,2.0,1.0,0,4,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1982-08-20,98.9,4,2,1,有,無,2020,14,4,2.0,13.0,9.0,20.0,20.0,20.0,6.0,14.0,20.0,20.0,8.0,20.0,18.0,20.0,13.0,25.07785620469545,121.54175407121843
47,士林區,房地(土地+建物),承德路四段,28.0,住,1.0,1.0,0,3,無,3.0,公寓(5樓含以下無電梯),住家用,加強磚造,1970-05-12,79.0,2,2,2,有,無,2019,25,12,1.0,13.0,9.0,20.0,20.0,20.0,6.0,12.0,16.0,20.0,10.0,19.0,20.0,20.0,20.0,25.052745004695453,121.55121717121844
48,文山區,房地(土地+建物),興隆路三段,9.12,住,1.0,1.0,0,2,無,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,2020-01-15,68.3,2,1,1,有,有,2017,28,6,1.0,5.0,7.0,20.0,20.0,18.0,12.0,17.0,17.0,20.0,6.0,20.0,18.0,20.0,17.0,24.96040180469545,121.58980367121843
49,南港區,房地(土地+建物)+車位,經貿二路,39.73,住宅區,1.0,1.0,1,5,無,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2010-06-28,187.14,3,2,2,有,有,2020,14,10,0.0,9.0,9.0,20.0,20.0,16.0,5.0,5.0,17.0,20.0,11.0,20.0,10.0,20.0,16.0,25.02365400469545,121.64844717121844
50,中山區,房地(土地+建物)+車位,敬業三路,47.09,住宅區,1.0,1.0,1,9,無,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2000-06-28,155.72,3,2,2,有,有,2020,21,7,0.0,7.0,11.0,20.0,20.0,20.0,8.0,13.0,20.0,19.0,6.0,20.0,20.0,20.0,19.0,25.040301504695453,121.58894207121844
51,士林區,房地(土地+建物),天母北路,29.69,第三種住宅區,1.0,1.0,0,2,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1983-03-02,161.339999999999,4,1,2,有,有,2020,27,11,0.0,10.0,11.0,20.0,20.0,20.0,5.0,14.0,20.0,20.0,9.0,20.0,20.0,20.0,13.0,25.08137180469545,121.55802947121843
52,文山區,房地(土地+建物),指南路三段,9.16,第三種住宅區,1.0,1.0,0,6,無,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2003-05-13,40.24,1,1,1,有,有,2020,2,11,0.0,5.0,5.0,18.0,20.0,8.0,9.0,12.0,10.0,12.0,5.0,20.0,6.0,19.0,8.0,24.94436400469545,121.61257697121845
53,中山區,房地(土地+建物),復興北路,34.0,住,1.0,1.0,0,1,騎樓,4.0,店面(店鋪),住商用,鋼筋混凝土造,1976-07-01,98.11,3,2,1,有,無,2020,17,1,1.0,6.0,7.0,20.0,20.0,20.0,10.0,18.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,25.028008104695452,121.57491307121843
54,士林區,房地(土地+建物),克強路,34.5,住,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-01-27,113.69,3,2,2,有,無,2020,24,5,2.0,11.0,14.0,20.0,20.0,20.0,4.0,15.0,18.0,20.0,10.0,20.0,17.0,20.0,16.0,25.071455104695453,121.55529527121844
55,中山區,房地(土地+建物),民族東路,32.66,住,9.0,1.0,0,3,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-12-15,110.94,3,2,2,有,無,2020,23,1,0.0,6.0,6.0,20.0,20.0,20.0,10.0,17.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.02813900469545,121.57569147121843
56,中山區,房地(土地+建物)+車位,通北街,33.55,第三種住宅區,1.0,1.0,1.0,3,無,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1987-05-08,165.8,3,2,2,有,有,2021,22,2,0.0,1.0,2.0,20.0,20.0,20.0,9.0,15.0,19.0,18.0,14.0,20.0,19.0,20.0,20.0,25.04606090469545,121.57008397121844
57,內湖區,房地(土地+建物)+車位,新富街,50.94,住宅區,1.0,1.0,1.0,6,無,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1999-02-09,292.56,4,2,2,有,有,2021,9,4,0.0,4.0,9.0,20.0,20.0,20.0,10.0,10.0,19.0,20.0,13.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
58,文山區,房地(土地+建物),秀明路一段,45.67,第三種住宅區,1.0,1.0,0.0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-05-02,119.13,3,2,2,有,無,2021,28,2,0.0,7.0,9.0,20.0,20.0,17.0,11.0,18.0,16.0,18.0,6.0,20.0,10.0,20.0,15.0,24.952264204695453,121.59690197121844
59,松山區,房地(土地+建物),南京東路五段,13.01,第二種商業區及第三種住宅區,1.0,1.0,0.0,8,無,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1969-02-07,132.54,3,2,2,有,有,2021,10,4,1.0,19.0,13.0,20.0,20.0,20.0,13.0,19.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,25.00804600469545,121.55742387121843
60,南港區,房地(土地+建物),忠孝東路六段,36.75,第三之二種住宅區,1.0,1.0,0.0,2,陽臺,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1963-06-18,102.4,3,2,1,有,無,2020,18,9,1.0,10.0,17.0,20.0,20.0,20.0,7.0,8.0,20.0,20.0,13.0,20.0,19.0,20.0,20.0,25.011142404695452,121.62152137121844
61,中正區,房地(土地+建物)+車位,臨沂街,26.08,第三種住宅區,1.0,1.0,1,2,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2009-03-03,130.09,2,2,2,有,有,2020,14,11,1.0,15.0,11.0,20.0,20.0,20.0,14.0,20.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,25.003706004695452,121.56195617121844
62,北投區,房地(土地+建物),榮華一路,24.43,第三種住宅區,1.0,1.0,0.0,3,無,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1967-04-04,123.539999999999,3,2,2,有,有,2021,21,3,0.0,10.0,12.0,20.0,20.0,20.0,4.0,12.0,17.0,20.0,10.0,20.0,18.0,20.0,17.0,25.074011904695453,121.55569557121844
63,文山區,房地(土地+建物),興隆路四段,23.41,住,1.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-05-21,103.89,3,2,1,有,無,2020,25,4,0.0,9.0,18.0,20.0,20.0,17.0,12.0,18.0,19.0,17.0,7.0,20.0,11.0,19.0,11.0,24.945535404695452,121.59425917121844
64,北投區,房地(土地+建物)+車位,天母西路,89.55,住,1.0,1.0,6,10,無,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2015-05-14,506.94,0,0,0,無,有,2020,14,5,0.0,8.0,9.0,20.0,20.0,18.0,4.0,15.0,20.0,20.0,7.0,20.0,19.0,20.0,13.0,25.08392580469545,121.55685227121843
65,士林區,房地(土地+建物),德行東路,33.66,住,3.0,1.0,0,5,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1981-02-16,120.71,4,2,2,有,無,2020,14,2,0.0,9.0,4.0,20.0,20.0,20.0,5.0,14.0,19.0,20.0,11.0,20.0,17.0,20.0,15.0,25.07155340469545,121.56676057121844
66,文山區,房地(土地+建物),木柵路二段,43.83,住,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1982-12-20,79.65,3,2,1,有,無,2020,12,1,0.0,7.0,11.0,20.0,20.0,18.0,11.0,16.0,14.0,18.0,8.0,20.0,11.0,20.0,16.0,24.95245590469545,121.59339237121844
67,大同區,房地(土地+建物)+車位,民權西路,4.68,第四種住宅區,3.0,1.0,1.0,6,無,14.0,住宅大樓(11層含以上有電梯),多戶住宅,鋼筋混凝土造,2009-12-02,48.2699999999999,1,1,1,有,有,2021,4,2,1.0,14.0,13.0,20.0,20.0,20.0,13.0,18.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,24.986825104695452,121.55742387121843
68,北投區,房地(土地+建物),知行路,33.67,第三種住宅區,1.0,1.0,0,2,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-01-26,86.49,3,1,1,有,無,2020,18,12,1.0,8.0,11.0,18.0,19.0,15.0,4.0,11.0,18.0,13.0,6.0,19.0,6.0,17.0,14.0,25.084297204695453,121.50080427121844
69,大同區,房地(土地+建物),重慶北路三段,20.75,第四種住宅區,1.0,1.0,0,3,無,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1971-05-06,65.0,2,2,1,有,無,2020,30,7,0.0,15.0,10.0,20.0,20.0,20.0,12.0,18.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,25.02951930469545,121.54403237121844
70,內湖區,房地(土地+建物),麗山街,21.91,住,1.0,1.0,0,2,無,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1983-07-22,98.5,3,2,2,有,無,2020,27,2,0.0,13.0,10.0,20.0,20.0,17.0,7.0,10.0,18.0,19.0,13.0,20.0,11.0,20.0,19.0,25.04363390469545,121.60565577121844
71,內湖區,房地(土地+建物)+車位,康樂街,27.76,第三種住宅區,1.0,1.0,1.0,11,無,15.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,2009-04-24,184.51,3,2,2,有,有,2019,15,2,1.0,10.0,14.0,20.0,20.0,14.0,5.0,4.0,17.0,20.0,7.0,20.0,12.0,20.0,15.0,24.986825204695453,121.55742387121843
